epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52223,0.85966,0.72109,1.07605,0.69372,0.72024,0.72627,0.52969,1.02761,1.004,1.27781,0.0705455,0.00327273,0.00327273
2,18.8102,0.77779,0.62775,1.03298,0.68556,0.72407,0.72682,0.53524,0.97994,0.95711,1.30296,0.0404801,0.00654066,0.00654066
3,27.9482,0.7763,0.63715,1.03477,0.69536,0.73621,0.73816,0.55505,0.95927,0.9387,1.25498,0.0103487,0.00974259,0.00974259
4,37.1397,0.76742,0.62549,1.02944,0.67521,0.71269,0.7183,0.52367,0.94465,1.06493,1.31365,0.009703,0.009703,0.009703
5,46.2639,0.76489,0.62556,1.03877,0.68314,0.73221,0.73484,0.54894,0.95016,0.98587,1.25233,0.009604,0.009604,0.009604
6,55.3221,0.76842,0.63066,1.02605,0.68621,0.76367,0.74757,0.54051,0.95533,0.94379,1.30869,0.009505,0.009505,0.009505
7,64.5538,0.76871,0.62683,1.036,0.68161,0.74434,0.74927,0.55721,0.95194,0.94474,1.26798,0.009406,0.009406,0.009406
8,73.8227,0.76129,0.63755,1.03021,0.69522,0.71369,0.72824,0.52156,1.0331,1.02733,1.30092,0.009307,0.009307,0.009307
9,82.9381,0.75964,0.61957,1.02928,0.68459,0.73286,0.7248,0.54678,0.91432,0.98944,1.24348,0.009208,0.009208,0.009208
10,91.972,0.74423,0.59963,1.02854,0.68006,0.74517,0.74211,0.55267,0.9538,0.95093,1.31787,0.009109,0.009109,0.009109
11,101.092,0.76524,0.61805,1.03303,0.70283,0.74057,0.7557,0.57198,0.91462,0.94591,1.23062,0.00901,0.00901,0.00901
12,110.372,0.74133,0.61406,1.02024,0.68294,0.74804,0.74228,0.55799,0.94121,0.96193,1.2557,0.008911,0.008911,0.008911
13,119.456,0.74943,0.6007,1.02848,0.6841,0.74347,0.74065,0.55348,0.9458,0.95991,1.28424,0.008812,0.008812,0.008812
14,128.557,0.73892,0.5906,1.0249,0.7025,0.72717,0.72914,0.54847,0.94014,0.99163,1.26578,0.008713,0.008713,0.008713
15,137.789,0.7432,0.57896,1.02071,0.69077,0.7628,0.76062,0.56726,0.93159,0.93995,1.29574,0.008614,0.008614,0.008614
16,146.809,0.75246,0.59951,1.02479,0.70715,0.74379,0.75318,0.56479,0.94161,0.95115,1.2703,0.008515,0.008515,0.008515
17,155.79,0.74082,0.59451,1.01699,0.70663,0.74597,0.7527,0.56483,0.92279,0.96407,1.25906,0.008416,0.008416,0.008416
18,164.74,0.71797,0.56362,1.00657,0.68978,0.76613,0.75726,0.57162,0.91117,0.94592,1.25118,0.008317,0.008317,0.008317
19,173.824,0.71812,0.56513,1.00922,0.69074,0.74626,0.74362,0.55498,0.94582,0.99309,1.28413,0.008218,0.008218,0.008218
20,182.957,0.73765,0.57737,1.01167,0.6962,0.75038,0.74284,0.55981,0.9261,0.95036,1.25942,0.008119,0.008119,0.008119
21,192.085,0.71371,0.55273,1.00432,0.69565,0.74413,0.73867,0.55901,0.94775,0.97615,1.2711,0.00802,0.00802,0.00802
22,201.225,0.70438,0.54768,0.99846,0.665,0.77396,0.74987,0.56093,0.94765,0.95221,1.27765,0.007921,0.007921,0.007921
23,210.374,0.71188,0.5658,1.01143,0.68214,0.75593,0.74603,0.56021,0.94162,0.94194,1.27395,0.007822,0.007822,0.007822
24,219.658,0.72306,0.55971,1.01174,0.68297,0.76702,0.74998,0.56334,0.93929,0.92924,1.27636,0.007723,0.007723,0.007723
25,228.826,0.69678,0.54638,0.99741,0.7225,0.71795,0.75757,0.57275,0.92459,0.9405,1.24483,0.007624,0.007624,0.007624
26,238.064,0.70064,0.57315,1.00431,0.71547,0.73766,0.74597,0.55979,0.91862,0.95632,1.26906,0.007525,0.007525,0.007525
27,247.192,0.71406,0.55871,1.01215,0.68815,0.75071,0.73939,0.54972,0.95212,0.95314,1.27667,0.007426,0.007426,0.007426
28,256.327,0.69368,0.53819,0.99331,0.70712,0.73376,0.74576,0.56178,0.92886,0.95983,1.25517,0.007327,0.007327,0.007327
29,265.402,0.69953,0.54146,1.00543,0.69558,0.74815,0.74089,0.55562,0.96249,0.96983,1.25062,0.007228,0.007228,0.007228
30,274.509,0.69014,0.54066,0.99574,0.67333,0.76903,0.7564,0.56278,0.93286,0.94376,1.27948,0.007129,0.007129,0.007129
31,283.592,0.70258,0.55039,1.00766,0.69841,0.75545,0.74192,0.55783,0.93003,0.95909,1.29714,0.00703,0.00703,0.00703
32,292.776,0.70978,0.55053,1.00732,0.69556,0.73474,0.73798,0.5565,0.93219,0.96391,1.28971,0.006931,0.006931,0.006931
33,301.821,0.70569,0.54566,0.99918,0.67943,0.74411,0.72269,0.54149,0.98117,0.98549,1.2921,0.006832,0.006832,0.006832
34,310.944,0.68912,0.52968,0.98787,0.71536,0.73696,0.75618,0.57116,0.93461,0.94633,1.27562,0.006733,0.006733,0.006733
35,320.16,0.70539,0.52998,1.00233,0.68956,0.76156,0.75529,0.5715,0.96047,0.95736,1.2795,0.006634,0.006634,0.006634
36,329.294,0.68657,0.52623,0.99615,0.68616,0.75871,0.73677,0.54477,0.95342,0.99866,1.29828,0.006535,0.006535,0.006535
37,338.427,0.68389,0.5204,0.993,0.69363,0.74832,0.737,0.55155,0.94803,0.97463,1.29015,0.006436,0.006436,0.006436
38,347.627,0.69218,0.52386,0.99428,0.71043,0.7566,0.74622,0.56941,0.92521,0.93408,1.26367,0.006337,0.006337,0.006337
39,356.799,0.66591,0.51212,0.9861,0.68659,0.7606,0.74001,0.56294,0.89967,0.97378,1.2577,0.006238,0.006238,0.006238
40,365.963,0.68127,0.51777,0.9914,0.70235,0.75268,0.74899,0.56584,0.91875,0.95209,1.26521,0.006139,0.006139,0.006139
41,375.099,0.67283,0.50679,0.98625,0.69464,0.75922,0.74944,0.56617,0.92916,0.98916,1.29958,0.00604,0.00604,0.00604
42,384.156,0.66564,0.51514,0.98104,0.68347,0.7544,0.73871,0.55446,0.94437,0.98005,1.29053,0.005941,0.005941,0.005941
43,393.185,0.66166,0.51258,0.98557,0.69305,0.75052,0.7456,0.56536,0.92967,0.94988,1.27155,0.005842,0.005842,0.005842
44,402.22,0.6751,0.51754,0.98978,0.70658,0.74433,0.75062,0.57579,0.89833,0.94739,1.24374,0.005743,0.005743,0.005743
